session_key,track,driver,driver_number,lap,pit_duration,team
10006,Suzuka,K ANTONELLI,12,31,24.3,Mercedes
10006,Suzuka,F ALONSO,14,24,25.7,AstonMartin
10006,Suzuka,C LECLERC,16,21,23.3,Ferrari
10006,Suzuka,L STROLL,18,9,23.7,AstonMartin
10006,Suzuka,L STROLL,18,30,23.6,AstonMartin
10006,Suzuka,M VERSTAPPEN,1,21,24.3,RedBull
10006,Suzuka,Y TSUNODA,22,23,24.1,RedBull
10006,Suzuka,L HAMILTON,44,30,22.9,Ferrari
10006,Suzuka,L NORRIS,4,21,23.2,McLaren
10006,Suzuka,G RUSSELL,63,19,23.1,Mercedes
10006,Suzuka,O PIASTRI,81,20,23.0,McLaren
10014,Sakhir,K ANTONELLI,12,12,24.8,Mercedes
10014,Sakhir,K ANTONELLI,12,27,24.5,Mercedes
10014,Sakhir,K ANTONELLI,12,32,24.6,Mercedes
10014,Sakhir,F ALONSO,14,16,24.8,AstonMartin
10014,Sakhir,F ALONSO,14,32,24.8,AstonMartin
10014,Sakhir,C LECLERC,16,17,24.8,Ferrari
10014,Sakhir,C LECLERC,16,32,24.2,Ferrari
10014,Sakhir,L STROLL,18,12,24.6,AstonMartin
10014,Sakhir,L STROLL,18,32,24.5,AstonMartin
10014,Sakhir,M VERSTAPPEN,1,10,26.5,RedBull
10014,Sakhir,M VERSTAPPEN,1,26,28.0,RedBull
10014,Sakhir,Y TSUNODA,22,11,26.4,RedBull
10014,Sakhir,Y TSUNODA,22,32,24.7,RedBull
10014,Sakhir,L HAMILTON,44,17,24.3,Ferrari
10014,Sakhir,L HAMILTON,44,32,24.3,Ferrari
10014,Sakhir,L NORRIS,4,10,29.8,McLaren
10014,Sakhir,L NORRIS,4,32,24.0,McLaren
10014,Sakhir,G RUSSELL,63,13,24.0,Mercedes
10014,Sakhir,G RUSSELL,63,32,24.1,Mercedes
10014,Sakhir,O PIASTRI,81,14,24.4,McLaren
10014,Sakhir,O PIASTRI,81,32,24.9,McLaren
10022,Jeddah,K ANTONELLI,12,19,20.3,Mercedes
10022,Jeddah,F ALONSO,14,19,21.8,AstonMartin
10022,Jeddah,C LECLERC,16,29,20.1,Ferrari
10022,Jeddah,L STROLL,18,39,20.4,AstonMartin
10022,Jeddah,M VERSTAPPEN,1,21,26.0,RedBull
10022,Jeddah,L HAMILTON,44,23,20.1,Ferrari
10022,Jeddah,L NORRIS,4,34,20.4,McLaren
10022,Jeddah,G RUSSELL,63,20,20.3,Mercedes
10022,Jeddah,O PIASTRI,81,19,21.3,McLaren
10033,Miami,K ANTONELLI,12,25,24.3,Mercedes
10033,Miami,F ALONSO,14,28,23.6,AstonMartin
10033,Miami,C LECLERC,16,29,22.1,Ferrari
10033,Miami,L STROLL,18,20,22.3,AstonMartin
10033,Miami,M VERSTAPPEN,1,26,22.5,RedBull
10033,Miami,Y TSUNODA,22,27,22.5,RedBull
10033,Miami,L HAMILTON,44,28,23.1,Ferrari
10033,Miami,L NORRIS,4,29,22.0,McLaren
10033,Miami,G RUSSELL,63,29,24.2,Mercedes
10033,Miami,O PIASTRI,81,29,22.1,McLaren
9693,Melbourne,K ANTONELLI,12,2,14.6,Mercedes
9693,Melbourne,K ANTONELLI,12,3,16.3,Mercedes
9693,Melbourne,K ANTONELLI,12,4,13.9,Mercedes
9693,Melbourne,K ANTONELLI,12,33,18.9,Mercedes
9693,Melbourne,K ANTONELLI,12,44,21.9,Mercedes
9693,Melbourne,F ALONSO,14,2,15.5,AstonMartin
9693,Melbourne,F ALONSO,14,3,16.2,AstonMartin
9693,Melbourne,F ALONSO,14,4,15.0,AstonMartin
9693,Melbourne,C LECLERC,16,2,14.1,Ferrari
9693,Melbourne,C LECLERC,16,3,14.6,Ferrari
9693,Melbourne,C LECLERC,16,4,14.1,Ferrari
9693,Melbourne,C LECLERC,16,34,18.1,Ferrari
9693,Melbourne,C LECLERC,16,47,24.5,Ferrari
9693,Melbourne,L STROLL,18,2,15.5,AstonMartin
9693,Melbourne,L STROLL,18,3,16.0,AstonMartin
9693,Melbourne,L STROLL,18,4,14.4,AstonMartin
9693,Melbourne,L STROLL,18,33,18.8,AstonMartin
9693,Melbourne,L STROLL,18,44,18.9,AstonMartin
9693,Melbourne,M VERSTAPPEN,1,2,13.4,RedBull
9693,Melbourne,M VERSTAPPEN,1,3,13.7,RedBull
9693,Melbourne,M VERSTAPPEN,1,4,12.9,RedBull
9693,Melbourne,M VERSTAPPEN,1,34,18.7,RedBull
9693,Melbourne,M VERSTAPPEN,1,46,18.7,RedBull
9693,Melbourne,L LAWSON,30,2,14.7,RedBull
9693,Melbourne,L LAWSON,30,3,16.3,RedBull
9693,Melbourne,L LAWSON,30,4,18.8,RedBull
9693,Melbourne,L LAWSON,30,33,20.0,RedBull
9693,Melbourne,L HAMILTON,44,2,15.0,Ferrari
