session_key,track,driver,driver_number,team,grid,finish_position,status,best_lap_time,pit_count,dnf
10006,Suzuka,K ANTONELLI,12,Mercedes,,6.0,,,1,0
10006,Suzuka,F ALONSO,14,AstonMartin,,11.0,,,1,0
10006,Suzuka,C LECLERC,16,Ferrari,,4.0,,,1,0
10006,Suzuka,L STROLL,18,AstonMartin,,20.0,,,2,0
10006,Suzuka,M VERSTAPPEN,1,RedBull,,1.0,,,1,0
10006,Suzuka,Y TSUNODA,22,RedBull,,12.0,,,1,0
10006,Suzuka,L HAMILTON,44,Ferrari,,7.0,,,1,0
10006,Suzuka,L NORRIS,4,McLaren,,2.0,,,1,0
10006,Suzuka,G RUSSELL,63,Mercedes,,5.0,,,1,0
10006,Suzuka,O PIASTRI,81,McLaren,,3.0,,,1,0
10014,Sakhir,K ANTONELLI,12,Mercedes,,11.0,,,3,0
10014,Sakhir,F ALONSO,14,AstonMartin,,15.0,,,2,0
10014,Sakhir,C LECLERC,16,Ferrari,,4.0,,,2,0
10014,Sakhir,L STROLL,18,AstonMartin,,17.0,,,2,0
10014,Sakhir,M VERSTAPPEN,1,RedBull,,6.0,,,2,0
10014,Sakhir,Y TSUNODA,22,RedBull,,9.0,,,2,0
10014,Sakhir,L HAMILTON,44,Ferrari,,5.0,,,2,0
10014,Sakhir,L NORRIS,4,McLaren,,3.0,,,2,0
10014,Sakhir,G RUSSELL,63,Mercedes,,2.0,,,2,0
10014,Sakhir,O PIASTRI,81,McLaren,,1.0,,,2,0
10022,Jeddah,K ANTONELLI,12,Mercedes,,6.0,,,1,0
10022,Jeddah,F ALONSO,14,AstonMartin,,11.0,,,1,0
10022,Jeddah,C LECLERC,16,Ferrari,,3.0,,,1,0
10022,Jeddah,L STROLL,18,AstonMartin,,16.0,,,1,0
10022,Jeddah,M VERSTAPPEN,1,RedBull,,2.0,,,1,0
10022,Jeddah,Y TSUNODA,22,RedBull,,,,,0,1
10022,Jeddah,L HAMILTON,44,Ferrari,,7.0,,,1,0
10022,Jeddah,L NORRIS,4,McLaren,,4.0,,,1,0
10022,Jeddah,G RUSSELL,63,Mercedes,,5.0,,,1,0
10022,Jeddah,O PIASTRI,81,McLaren,,1.0,,,1,0
10033,Miami,K ANTONELLI,12,Mercedes,,6.0,,,1,0
10033,Miami,F ALONSO,14,AstonMartin,,15.0,,,1,0
10033,Miami,C LECLERC,16,Ferrari,,7.0,,,1,0
10033,Miami,L STROLL,18,AstonMartin,,16.0,,,1,0
10033,Miami,M VERSTAPPEN,1,RedBull,,4.0,,,1,0
10033,Miami,Y TSUNODA,22,RedBull,,10.0,,,1,0
10033,Miami,L HAMILTON,44,Ferrari,,8.0,,,1,0
10033,Miami,L NORRIS,4,McLaren,,2.0,,,1,0
10033,Miami,G RUSSELL,63,Mercedes,,3.0,,,1,0
10033,Miami,O PIASTRI,81,McLaren,,1.0,,,1,0
9693,Melbourne,K ANTONELLI,12,Mercedes,,4.0,,,5,0
9693,Melbourne,F ALONSO,14,AstonMartin,,,,,3,1
9693,Melbourne,C LECLERC,16,Ferrari,,8.0,,,5,0
9693,Melbourne,L STROLL,18,AstonMartin,,6.0,,,5,0
9693,Melbourne,M VERSTAPPEN,1,RedBull,,2.0,,,5,0
9693,Melbourne,L LAWSON,30,RedBull,,,,,4,1
9693,Melbourne,L HAMILTON,44,Ferrari,,10.0,,,5,0
9693,Melbourne,L NORRIS,4,McLaren,,1.0,,,5,0
9693,Melbourne,G RUSSELL,63,Mercedes,,3.0,,,5,0
9693,Melbourne,O PIASTRI,81,McLaren,,9.0,,,5,0
9839,Yas_Marina_Circuit,K ANTONELLI,12,Mercedes,,15.0,,,1,0
9839,Yas_Marina_Circuit,F ALONSO,14,AstonMartin,,6.0,,,1,0
9839,Yas_Marina_Circuit,C LECLERC,16,Ferrari,,4.0,,,2,0
9839,Yas_Marina_Circuit,L STROLL,18,AstonMartin,,10.0,,,1,0
9839,Yas_Marina_Circuit,M VERSTAPPEN,1,RedBull,,1.0,,,1,0
9839,Yas_Marina_Circuit,Y TSUNODA,22,RedBull,,14.0,,,1,0
9839,Yas_Marina_Circuit,L HAMILTON,44,Ferrari,,8.0,,,2,0
9839,Yas_Marina_Circuit,L NORRIS,4,McLaren,,3.0,,,2,0
9839,Yas_Marina_Circuit,G RUSSELL,63,Mercedes,,5.0,,,1,0
9839,Yas_Marina_Circuit,O PIASTRI,81,McLaren,,2.0,,,1,0
9850,Lusail,K ANTONELLI,12,Mercedes,,5.0,,,2,0
9850,Lusail,F ALONSO,14,AstonMartin,,7.0,,,2,0
9850,Lusail,C LECLERC,16,Ferrari,,8.0,,,2,0
9850,Lusail,L STROLL,18,AstonMartin,,17.0,,,3,0
9850,Lusail,M VERSTAPPEN,1,RedBull,,1.0,,,2,0
9850,Lusail,Y TSUNODA,22,RedBull,,10.0,,,2,0
9850,Lusail,L HAMILTON,44,Ferrari,,12.0,,,2,0
9850,Lusail,L NORRIS,4,McLaren,,4.0,,,2,0
9850,Lusail,G RUSSELL,63,Mercedes,,6.0,,,2,0
9850,Lusail,O PIASTRI,81,McLaren,,2.0,,,2,0
9858,Las_Vegas,K ANTONELLI,12,Mercedes,,3.0,,,1,0
9858,Las_Vegas,F ALONSO,14,AstonMartin,,11.0,,,1,0
9858,Las_Vegas,C LECLERC,16,Ferrari,,4.0,,,1,0
9858,Las_Vegas,L STROLL,18,AstonMartin,,,,,0,1
9858,Las_Vegas,M VERSTAPPEN,1,RedBull,,1.0,,,1,0
9858,Las_Vegas,Y TSUNODA,22,RedBull,,12.0,,,2,0
9858,Las_Vegas,L HAMILTON,44,Ferrari,,8.0,,,1,0
9858,Las_Vegas,L NORRIS,4,McLaren,,,,,1,1
9858,Las_Vegas,G RUSSELL,63,Mercedes,,2.0,,,1,0
9858,Las_Vegas,O PIASTRI,81,McLaren,,,,,1,1
9869,Interlagos,K ANTONELLI,12,Mercedes,,2.0,,,2,0
